KO	X103post	X103pre	X104post	X104pre	X107post	X107pre	X109post	X109pre	X111post	X111pre	X116post	X116pre	X118post	X118pre	X119post	X119pre	X123post	X123pre	X124post	X124pre	X127post	X127pre	X130post	X130pre	X133post	X133pre	X138post	X138pre	X139post	X139pre	X140post	X140pre
K03648	6	0	22	13	13	7	10	4	7	5	4	8	14	7	6	2	5	6	1	0	15	22	8	13	5	9	5	3	7	4	10	8
K03649	3	0	1	1	1	1	0	0	0	1	3	0	0	5	0	2	1	1	0	0	0	2	0	0	3	5	0	0	1	0	0	0
K03650	25	1	40	22	22	20	24	11	14	13	9	16	25	17	13	10	14	8	9	3	23	32	14	16	8	11	15	7	11	6	22	25
K03651	1	0	1	2	1	1	1	1	1	1	0	1	0	0	1	1	2	0	0	0	1	3	1	1	1	3	1	0	0	0	2	1
K03652	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	8	1	0	0	0	0	0	0	0	0	0
K03654	26	2	75	45	39	31	27	13	18	15	8	31	38	31	26	18	21	3	6	2	61	69	25	28	6	14	24	11	17	12	36	38
K03655	41	3	114	66	72	45	45	18	31	17	17	38	46	35	26	15	20	12	10	6	89	87	37	50	21	29	29	12	35	21	54	54
K03656	11	0	16	8	7	7	11	4	6	6	1	5	7	5	4	2	3	1	4	2	5	9	5	5	1	7	5	2	3	2	6	8
K03657	38	2	73	34	39	23	29	13	23	16	12	19	33	26	16	12	13	10	9	4	38	96	23	32	19	36	17	7	24	10	28	28
K03658	3	0	5	2	0	0	1	1	1	2	0	2	2	2	4	2	2	0	0	0	1	3	0	1	3	7	2	1	0	0	2	1
K03660	3	0	7	3	2	1	1	0	3	2	2	1	1	0	1	0	0	2	1	1	1	9	2	3	3	2	0	0	4	1	2	2
K03664	17	1	31	17	16	13	14	6	10	9	6	11	17	14	9	7	9	6	5	2	18	27	10	12	6	11	10	4	9	5	15	16
K03665	17	1	29	17	17	14	22	8	9	7	6	11	15	13	7	6	9	10	5	1	19	27	10	12	7	12	9	4	9	5	14	16
K03666	0	0	5	2	1	1	1	0	2	2	0	2	0	0	0	0	0	4	1	1	1	10	1	1	0	3	0	0	0	0	1	0
K03667	14	1	22	13	10	10	11	6	6	6	2	9	13	13	7	6	6	1	3	2	16	17	8	8	1	5	9	4	4	4	11	13
K03668	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0
K03669	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K03670	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	5	0	0	0	0	0	0
K03671	38	4	174	111	104	70	68	34	45	34	14	74	98	64	61	30	49	11	10	5	149	134	59	75	15	18	55	26	42	30	88	86
K03672	3	0	3	2	1	1	2	2	1	4	3	2	8	7	3	4	10	0	0	1	2	3	3	6	1	3	3	2	2	1	2	2
K03673	0	0	1	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	1	0
K03674	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K03675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
